date,REAINTRATREARAT1YE,CPIAUCSL_PC1,SPASTT01USM661N,FEDFUNDS,OT
1990-11-01,2.06465650,6.19539,17.0545100000000005,7.81,381.866
1990-12-01,2.08943760,6.25495,17.7827100000000016,7.31,378.161
1991-01-01,2.68832760,5.64706,17.6221299999999985,6.91,384.591
1991-02-01,3.00589800,5.31250,19.5830799999999989,6.25,363.748
1991-03-01,2.83248230,4.82115,20.1592100000000016,6.12,363.390
1991-04-01,3.41511650,4.80993,20.5699199999999998,5.91,358.055
1991-05-01,3.15279120,5.03486,20.4927099999999989,5.78,357.117
1991-06-01,2.96284440,4.69592,20.5305600000000013,5.90,366.360
1991-07-01,2.86350750,4.36782,20.6273400000000002,5.82,368.013
1991-08-01,2.70176280,3.79939,21.1264600000000016,5.66,356.721
1991-09-01,2.63416980,3.39623,21.0489400000000018,5.45,348.460
1991-10-01,2.15856580,2.84858,21.1034100000000002,5.21,358.826
1991-11-01,2.06564660,3.06657,21.1183599999999991,4.81,359.960
1991-12-01,1.64026630,2.98063,21.2187299999999972,4.43,361.875
1992-01-01,1.50429280,2.67261,22.7115900000000011,4.03,354.436
1992-02-01,1.45465520,2.81899,22.5906299999999973,4.06,353.853
1992-03-01,1.36988450,3.18991,22.3027799999999985,3.98,344.641
1992-04-01,1.74984650,3.18283,22.2371300000000005,3.73,338.728
1992-05-01,1.49159080,3.02360,22.6390500000000010,3.82,337.039
1992-06-01,1.25285460,3.01471,22.2497800000000012,3.76,340.784
1992-07-01,1.25385840,3.15712,22.5956800000000015,3.25,352.452
1992-08-01,1.06869980,3.07467,22.7840699999999998,3.30,343.603
1992-09-01,0.98347453,2.99270,22.7898700000000005,3.22,345.300
1992-10-01,0.73632090,3.27988,22.4770199999999996,3.10,344.277
1992-11-01,0.90703369,3.12046,23.0581299999999985,3.09,334.924
1992-12-01,1.09956710,2.96671,23.7152600000000007,2.92,334.657
1993-01-01,0.90345318,3.25380,23.7347700000000010,3.02,328.993
1993-02-01,0.79552367,3.24675,24.1051900000000003,3.03,329.310
1993-03-01,0.55103927,3.01941,24.5713000000000008,3.07,329.974
1993-04-01,0.71185854,3.15638,24.2349600000000009,2.96,341.948
1993-05-01,0.60491925,3.22119,24.3632099999999987,3.00,367.045
1993-06-01,1.25552300,2.99786,24.4769100000000002,3.04,371.914
1993-07-01,0.83848638,2.84698,24.5449200000000012,3.06,392.034
1993-08-01,0.91406765,2.84091,24.9488799999999991,3.03,379.795
1993-09-01,0.76919008,2.76400,25.2390399999999993,3.09,355.561
1993-10-01,0.53441071,2.75229,25.5032999999999994,2.99,364.005
1993-11-01,0.72851590,2.74455,25.3448199999999986,3.02,373.939
1993-12-01,0.94794230,2.81096,25.5228900000000003,2.96,383.243
1994-01-01,0.88858704,2.45098,25.9565299999999972,3.05,387.110
1994-02-01,0.77513982,2.51572,25.9426200000000016,3.25,381.658
1994-03-01,0.33699727,2.65178,25.4828699999999984,3.34,384.000
1994-04-01,1.30459580,2.36439,24.5566700000000004,3.56,377.908
1994-05-01,1.55011750,2.28849,24.7144000000000013,4.01,381.343
1994-06-01,1.25383360,2.49480,24.8775399999999998,4.25,385.714
1994-07-01,1.48021810,2.69896,24.6876899999999999,4.26,385.450
1994-08-01,1.99615040,2.90055,25.3602400000000010,4.47,380.207
1994-09-01,2.03101840,2.96552,25.5108500000000014,4.73,391.348
1994-10-01,2.03094610,2.60989,25.2744600000000013,4.76,390.164
1994-11-01,2.04089860,2.60274,25.0032899999999998,5.29,384.377
1994-12-01,2.01401730,2.59740,24.6242899999999985,5.45,379.480
1995-01-01,2.32982810,2.87081,25.1106200000000008,5.53,378.738
1995-02-01,2.25730420,2.86299,25.9325699999999983,5.92,376.745
1995-03-01,2.16127930,2.78722,26.4223600000000012,5.98,381.820
1995-04-01,2.36221990,3.12500,27.1715499999999999,6.05,391.339
1995-05-01,3.71093360,3.11864,27.9074199999999983,6.01,385.231
1995-06-01,3.10988340,3.04260,28.6715299999999971,6.00,387.618
1995-07-01,2.43535030,2.83019,29.5286099999999969,5.85,386.138
1995-08-01,2.51839550,2.61745,29.7138099999999987,5.74,383.502
1995-09-01,2.20314530,2.54521,30.7398099999999985,5.80,382.931
1995-10-01,2.52767610,2.74431,30.8753700000000002,5.76,383.202
1995-11-01,2.32717580,2.60347,31.4498599999999975,5.80,385.209
1995-12-01,3.05439540,2.53165,32.4717500000000001,5.60,387.445
1996-01-01,2.41653340,2.79070,32.6031499999999994,5.56,398.695
1996-02-01,2.14358530,2.71703,34.3099099999999950,5.22,404.919
1996-03-01,2.59565560,2.84392,34.3372799999999998,5.31,396.512
1996-04-01,2.58769470,2.83267,34.4135199999999983,5.22,392.870
1996-05-01,2.30539510,2.82709,35.1403200000000027,5.24,391.990
1996-06-01,2.37647570,2.82152,35.4843599999999952,5.27,385.245
1996-07-01,2.67806080,2.88336,34.2169400000000010,5.40,383.457
